"","H3K4me3_K562_E1_IRpseudo12","H3K4me3_K562_E1_IRpseudo1","H3K4me3_K562_E1_IRpseudo2","H3K4me3_K562_E1_IR12","H3K4me3_K562_E2_IRpseudo12","H3K4me3_K562_E2_IRpseudo1","H3K4me3_K562_E2_IRpseudo2","H3K4me3_K562_E2_IR12","H3K4me3_K562_E3_IRpseudo12","H3K4me3_K562_E3_IRpseudo1","H3K4me3_K562_E3_IRpseudo2","H3K4me3_K562_E3_IR12","H3K4me3_K562_E4_IRpseudo12","H3K4me3_K562_E4_IRpseudo1","H3K4me3_K562_E4_IRpseudo2","H3K4me3_K562_E4_IR12","H3K4me3_A549_E1_IRpseudo123","H3K4me3_A549_E1_IRpseudo1","H3K4me3_A549_E1_IRpseudo2","H3K4me3_A549_E1_IRpseudo3","H3K4me3_A549_E1_IR123","H3K4me3_A549_E2_IRpseudo12","H3K4me3_A549_E2_IRpseudo1","H3K4me3_A549_E2_IRpseudo2","H3K4me3_A549_E2_IR12","H3K4me3_A549_E3_IRpseudo12","H3K4me3_A549_E3_IRpseudo1","H3K4me3_A549_E3_IRpseudo2","H3K4me3_A549_E3_IR12","H3K4me3_A549_E4_IRpseudo123","H3K4me3_A549_E4_IRpseudo1","H3K4me3_A549_E4_IRpseudo2","H3K4me3_A549_E4_IRpseudo3","H3K4me3_A549_E4_IR123"
"H3K4me3_K562_E3_IRpseudo2",86.1436950146628,76.6283377064362,83.955857385399,83.6085815712301,80.5564130267017,72.3066831301127,78.7428615527088,78.3955857385399,97.0288624787776,91.0209908936564,100,96.2108350054021,90.5039357925606,85.5031640685291,86.5295570304059,89.8325358851675,74.687451767248,72.9047692545146,72.9819416576632,70.9445902145393,74.1858311467819,74.3054483716623,73.8539898132428,72.6809692853835,74.3941966352832,77.288161753357,76.5357308226578,72.7774347893193,76.6476308072233,74.1086587436333,69.717549004476,72.7697175490045,71.9941348973607,73.2366105880537
"H3K4me3_K562_E3_IR12",81.2742027814257,69.4885005219382,78.8665521769876,78.2368589419807,74.1758426777116,65.161464120955,71.6840084857056,71.8860490958683,94.8984745933933,86.4801158366165,84.9816479779102,100,88.8507256625248,82.6716503350507,83.9310368050645,88.126746809442,69.6770717580901,67.5623800383877,67.6735023739772,65.1176886554197,69.060847897094,69.3032966292892,68.6938074552985,67.4815637943227,69.2898272552783,73.111762130855,72.2194161026366,67.7576859615449,72.4079873387884,68.9429908744991,63.7438125063138,67.4377883287874,66.3434016904064,67.8957470451561
"H3K4me3_K562_E4_IRpseudo12",55.8364277971262,48.4051018290011,54.2357635445257,53.5622852134603,52.5382291210185,46.5714878796965,50.7553566898079,51.0805636921374,56.929676868787,54.3833752335263,53.6107202989137,57.0726756925064,100,73.7666351454206,79.8302465576493,85.4533293355168,48.4904398367046,46.9289849389949,46.3754411052425,44.6894388449385,47.7731392854672,48.8271790022372,48.2621030052817,47.1065802523237,48.822566136956,54.3187951195885,53.5069308300851,48.5965357381738,53.2278524805683,47.9599603293586,44.098992088936,46.580713610259,45.7342528311461,46.8436469312914
"H3K4me3_K562_E4_IRpseudo1",64.6965332273766,56.1786033575047,62.8066951425449,62.319956292838,59.1015198172246,52.9874838581504,57.0055627297109,57.5990861229761,64.6518327207708,62.1039038442436,61.2918446409059,64.78345087911,90.195688884474,100,77.5702791298301,88.579020562233,54.3260156948445,52.6124962749578,52.1853581007251,50.1117512665143,53.6853084334956,54.5222012516142,53.8665938213966,52.848415615377,54.5222012516142,59.8092778384822,59.086619648356,54.1248634151187,58.8382835005463,53.6306744809774,49.4064766067349,52.2623423065461,51.3385318366941,52.6100129134797
"H3K4me3_K562_E4_IRpseudo2",61.8851999012279,53.6152827350888,60.8997238871304,59.7930275888388,57.5280041304689,51.7094304891463,55.7860237501964,56.3045771881384,61.8784654409949,59.5842593216154,58.8681617168384,61.9884616248008,92.1049677868319,72.9791007250769,100,86.2729252250432,52.3334904707388,50.7217096549712,50.477024266505,48.5015825981548,51.7026960289133,52.5153208970301,51.9541158776124,51.0427189260781,52.4883830560981,57.8130962803331,56.9421060901969,52.3469593912048,57.0184299728377,51.7767750914764,47.4510068018048,50.6745684333401,49.3613486879027,50.8025231777673
"H3K4me3_K562_E4_IR12",58.1381176413232,50.695951051849,56.4951368744363,55.8320941910636,54.8545937644736,48.7433878555932,53.0409770128952,53.3066816176291,59.410574555737,56.7413402237769,55.9198498403335,59.5348950588694,90.3151890402945,76.2962240694245,77.9245788947664,100,50.4911878702191,48.9457133802989,48.3606757184994,46.6835677546742,49.7793920483631,50.8617117226921,50.2474221778027,49.1431635911562,50.8787753211613,56.1587402189016,55.4055042293348,50.4131828486459,55.0301050630134,49.9451527192063,46.0205250713015,48.5020598201009,47.7146966335958,48.7823903663798
"H3K4me3_A549_E1_IRpseudo123",55.2897719122077,51.6568641514847,53.9305695022235,54.2210586716397,53.8731889255487,49.7776502653852,53.3352460192225,52.607229952661,57.2227800889399,55.7559890976904,55.4906039305695,57.3196098120786,58.8617128102137,56.7458040453307,55.9424759718835,58.4779802037011,100,87.5771051499068,78.4715248888251,74.0747382011189,89.0976904317888,88.9040309855114,86.7235690718692,83.6537082197676,88.9004446994692,97.2672500358629,96.2057093673791,87.8855257495338,96.0443264954813,88.4162960837756,73.4937598622866,80.0781810357194,78.8014632047052,82.8073447138144
"H3K4me3_A549_E1_IRpseudo1",59.9160055996267,56.1434365914067,58.5663519867906,58.9324814243153,58.2289385835816,54.0076815391794,57.7192289744786,56.9474855522452,61.5994831113823,60.1672708998887,59.9088265910478,61.628199145698,62.6619763810618,60.4580207473348,59.9877956854158,62.3676370293263,95.7572059298611,100,83.3662371226534,79.4500879428551,91.2846835851969,91.2380200294339,89.4648049104419,87.2752072938727,91.1231558921713,97.9144980078251,96.9776373882767,90.7821529846728,97.0314799526185,91.2416095337234,78.523995836175,84.5292365124376,83.4775117556265,87.3182813453462
"H3K4me3_A549_E1_IRpseudo2",67.2016945163568,63.9774064485761,65.6530948458461,66.170863732643,66.0531889856437,61.6427394681101,65.6389738762062,64.6034361026124,69.2445281242645,67.8653800894328,67.6488585549541,69.3622028712638,68.830313014827,67.3523181925159,66.2273476112026,68.4208048952695,99.2327606495646,95.9143327841845,100,90.5389503412568,99.1197928924453,96.0131795716639,95.3118380795481,93.2454695222405,96.0696634502236,98.3196046128501,97.6041421510944,93.2878324311603,97.660626029654,97.5100023534949,89.4092727700635,93.0289479877618,93.5278889150388,95.165921393269
"H3K4me3_A549_E1_IRpseudo3",69.790787544974,66.0374006129792,68.3782703326967,68.7647137209612,68.2005952116555,63.7009727712877,67.7608492870786,66.7214498289877,71.5808643894639,70.1816728112646,69.9107182516768,71.6697019499845,70.9590014658198,69.0800870608093,68.4093634788789,70.6214187358415,99.5336028072669,97.1882912095234,95.2294230000444,100,98.4320170568116,97.4503620130591,96.9262204059876,95.2427486341225,97.5569670856838,98.8895304934927,98.3209701061609,94.8207702216497,98.4542264469418,98.2276906676143,91.1473370941234,94.5276062719318,95.1050504153156,96.6197308221916
"H3K4me3_A549_E1_IR123",59.4015760318327,55.8281969259577,57.9737848170399,58.3599906374347,58.0362019193259,53.7840368260904,57.5524693766092,56.6825310134977,61.4262307872357,59.9516267457283,59.7214636810486,61.5354607162362,62.3819926659905,60.4899742529453,59.5108059608333,62.0269953967387,96.9181555746274,90.1029882187719,85.2734649293907,79.570102208005,100,91.6439104314582,89.9703518764141,87.2825154092221,91.6478115003511,97.4487009440587,96.4968401341968,89.4632129203402,96.2705781384099,92.2056643520325,78.8913162206445,84.6766013887805,84.2669891550285,87.5516891628306
"H3K4me3_A549_E2_IRpseudo12",54.7122832902988,50.682405016599,53.261404155908,53.5534243206689,53.0370097135129,48.3800565596951,52.3669002827985,51.6568301979589,56.5412516906431,55.0196729374155,54.6938399114718,56.6242468953646,58.1488995450633,55.416205582196,55.010451248002,57.7093323496865,86.2719783597688,81.4490347965081,75.4364932989057,71.6187138817165,82.8630271732448,100,90.3571867699496,85.4112873478421,95.4414115332596,98.2325095290791,97.2150497971228,87.8212221812369,96.7478175335055,84.6704782982909,71.0961514816181,77.4621910734047,76.0543464896102,80.0350424197713
"H3K4me3_A549_E2_IRpseudo1",56.9633247270352,52.7669767007808,55.5821694092761,55.8776868759138,55.205773478085,50.3872834168041,54.5120851090304,53.8121753196255,58.7457616573864,57.2184029613961,57.0379817712384,58.876411484742,59.8687280306094,57.0099853796622,56.6895822316235,59.3492394313622,88.2352941176471,83.743428624755,78.5796497340343,74.6788191744175,85.3392229445982,95.088188633465,100,86.0298006034778,94.5375929324665,97.7042958907519,96.6964257940088,88.2290726972968,96.4071297477214,86.6363890876287,73.9478022832613,80.0759013282732,78.8844993311973,82.6546800634585
"H3K4me3_A549_E2_IRpseudo2",61.2523828363846,57.4398446210841,59.7777218285797,60.1409919792828,59.7417544869259,55.0372261986117,59.2058410962846,58.3965759090746,63.1874258173578,61.7055713412222,61.4250260763227,63.2737474373269,63.8528216379527,61.3063338488652,60.9754343056505,63.4823580189188,92.2670215444377,88.6774808473906,83.1169298277164,80.3186706470525,89.652195806208,98.8850124087329,94.3063698162069,100,97.8923137790886,99.2410890911053,98.7159659029601,92.8964500233788,98.4965651188721,91.1484372190051,79.905046218034,84.6994928604827,84.4189475955832,87.5157357119735
"H3K4me3_A549_E2_IR12",54.8695491272436,50.8110775303769,53.4416826003824,53.73157342873,53.1702954419293,48.4981187935607,52.5134151606735,51.7979399247517,56.7630913464504,55.2118670202924,54.9558995867514,56.818602356134,58.2711404428545,55.5295133534818,55.1008450009252,57.8609757601924,86.501572811941,81.650527354592,75.7077653734657,71.9700240547709,83.1215691112071,95.7534077592056,90.1005366064269,84.8023191266268,100,98.22981558009,97.2059458459261,87.8369209893295,96.7279343736508,84.9380127058533,71.3501511133041,77.6444828224265,76.3924011595633,80.2781718374144
"H3K4me3_A549_E3_IRpseudo12",35.0813074901445,32.379270696452,34.1060282522996,34.2415407358738,34.1121879106439,31.0385183968463,33.6091491458607,33.1307490144547,36.6581800262812,35.5391754270696,35.286629434954,36.7156701708279,40.1199080157687,37.7545992115637,37.4979467805519,39.6415078843627,56.8023160315374,53.2584592641261,47.8810775295664,45.4705978975033,53.6547306176084,58.6686925098555,56.2869579500657,52.7307818659658,58.5968298291721,100,89.4834099868594,67.5899310118265,88.1775624178712,55.7736530880421,45.6512812089356,50.3367279894875,48.6571944809461,51.1641754270696
"H3K4me3_A549_E3_IRpseudo1",37.3093247047947,34.4266083960163,36.3701306887423,36.4247594234567,36.1705256965164,32.9831491364458,35.657856032273,35.1725007353868,38.8200193301677,37.6770181115267,37.4521998571248,38.8872546959701,42.4045047695088,39.8453586586544,39.6688658234231,41.908643946716,59.9739462957516,56.2886078077069,50.6366348699416,48.1027020212632,56.7004244232466,62.0288271630878,59.4696810522335,55.9629365046014,61.9237719040215,96.0877421523721,100,69.6894566542001,88.0468126234399,58.8330461822919,48.1888473336975,53.2735218725049,51.2921796865151,54.1139639450351
"H3K4me3_A549_E3_IRpseudo2",45.7399577167019,42.4973572938689,44.7674418604651,44.8335095137421,44.1992600422833,40.7505285412262,43.75,43.1527484143763,46.9952431289641,45.9408033826638,45.7135306553911,47.0401691331924,49.426532769556,46.7758985200846,46.8868921775898,48.9561310782241,71.7521141649049,68.5359408033827,62.0137420718816,59.595665961945,68.3641649048626,74.4476744186046,71.9793868921776,69.3710359408034,74.3657505285412,97.566067653277,93.3747357293869,100,97.3837209302326,70.4201902748414,59.6802325581395,65.1876321353065,62.6268498942918,65.8932346723044
"H3K4me3_A549_E3_IR12",36.8849063596922,34.1029498332134,35.9299714391611,36.0149998909892,35.8580242876142,32.7468550373907,35.3652953103539,34.8725663330935,38.4415810931607,37.3580133865306,37.0724049970567,38.5004469444263,41.5026053589727,39.1937558593324,39.0040770052543,41.0076961649988,59.2582902740532,55.8244489502256,50.2474545969869,47.9713083480498,56.0337497547256,61.1899622822509,58.7851832472148,55.4494516754965,61.1027536137092,93.6315869797458,86.4826563760438,71.6026773061242,100,58.1878038677044,48.1239235179977,52.7394423005647,51.0977391152681,53.6049883358406
"H3K4me3_A549_E4_IRpseudo123",56.4700830231892,52.7769825365016,55.1102204408818,55.4430289149728,54.9098196392786,50.8230747208703,54.390924706556,53.6394217005439,58.234325794446,56.7778413970799,56.52018322359,58.3381047809905,59.7337532207272,57.6868021757801,56.9675064414543,59.3544231319782,90.7708273690238,85.6570283423991,79.3658746063556,75.1467220154595,87.5250501002004,89.2892928714572,87.0741482965932,84.5118809046665,89.3179215574005,97.1729172630976,96.1565989121099,88.2658173489837,95.8703120526768,100,75.7801316919553,83.0518179215574,81.6382765531062,86.1508731749213
"H3K4me3_A549_E4_IRpseudo1",70.1030927835051,66.3243306808828,68.7781741209674,69.1780016463486,68.4293050056838,63.8156089530007,67.9118811493081,67.0063894006507,71.5887264317353,70.318686056995,70.063894006507,71.6122456979342,71.2594567049508,69.170161890949,68.72329583317,70.85178942417,97.5069577829172,95.8762886597938,93.5400415507036,91.1410763984164,96.5505076241621,96.1428403433813,95.4176629689154,94.1750617380738,96.1624397318804,98.5261259848693,97.9499039629964,94.4808121986594,98.0557406608914,98.702520481361,100,94.5827290188546,94.4690525655599,97.7382305672063
"H3K4me3_A549_E4_IRpseudo2",63.0229182246074,59.8953063827915,61.7340430211587,62.0199709673162,61.8880042229358,57.823428496019,61.4745084238772,60.5287467558175,64.8616548629745,63.5947741169225,63.423217349228,64.9452338010821,65.1387850261734,63.5023973958562,62.6314168829455,64.7560814674702,94.2418510535345,91.2813970879338,87.4147714775876,84.3267496590859,92.4559011129195,92.5218844851098,91.2550037390578,89.4118682092113,92.4778955703163,98.0204988342938,97.2462939339287,92.4251088725641,97.2418950424493,95.7858619627854,84.9337966832358,100,87.8678572999604,90.6259622575111
"H3K4me3_A549_E4_IRpseudo3",66.4001599040576,62.4945032980212,64.9450329802119,65.4487307615431,64.6492104737158,59.972016789926,64.1375174895063,63.2100739556266,68.1191285228863,66.675994403358,66.3681790925445,68.1910853487907,68.2390565660604,66.3002198680792,65.5446731960823,67.8352988207076,97.2376574055567,94.3913651808915,91.2052768338997,87.7153707775335,95.9024585248851,95.9264441335199,94.7351589046572,92.912252648411,95.9704177493504,98.3130121926844,97.541475114931,92.5644613232061,97.5054967019788,98.9406356186288,87.0477713371977,91.3851688986608,100,96.2542474515291
"H3K4me3_A549_E4_IR123",63.0938775510204,59.4040816326531,61.5918367346939,62.0367346938775,61.6122448979592,57.2204081632653,61.0938775510204,60.2040816326531,64.934693877551,63.4530612244898,63.2612244897959,65.0244897959184,65.4979591836735,63.7183673469388,62.8448979591837,65.0979591836735,95.7469387755102,92.4285714285714,87.3265306122449,83.9265306122449,93.5632653061224,94.534693877551,93.0612244897959,90.9591836734694,94.5428571428571,98.3510204081633,97.5918367346939,92,97.3918367346939,98.2612244897959,85.4081632653061,88.3714285714286,90.2571428571429,100
