"","H3K4me1_K562_E1_IRpseudo12","H3K4me1_K562_E1_IR12","H3K4me1_K562_E2_IRpseudo123","H3K4me1_K562_E2_IR123","H3K4me1_A549_E1_IRpseudo123","H3K4me1_A549_E1_IR123","H3K4me1_A549_E2_IRpseudo12","H3K4me1_A549_E2_IR12","H3K4me1_A549_E3_IRpseudo12","H3K4me1_A549_E3_IR12","H3K4me3_K562_E1_IRpseudo12","H3K4me3_K562_E1_IR12","H3K4me3_K562_E2_IRpseudo12","H3K4me3_K562_E2_IR12","H3K4me3_K562_E3_IRpseudo12","H3K4me3_K562_E3_IR12","H3K4me3_K562_E4_IRpseudo12","H3K4me3_K562_E4_IR12","H3K4me3_A549_E1_IRpseudo123","H3K4me3_A549_E1_IR123","H3K4me3_A549_E2_IRpseudo12","H3K4me3_A549_E2_IR12","H3K4me3_A549_E3_IRpseudo12","H3K4me3_A549_E3_IR12","H3K4me3_A549_E4_IRpseudo123","H3K4me3_A549_E4_IR123","H3K9ac_K562_E1_IRpseudo12","H3K9ac_K562_E1_IR12","H3K9ac_K562_E2_IRpseudo12","H3K9ac_K562_E2_IR12","H3K9ac_A549_E1_IRpseudo12","H3K9ac_A549_E1_IR12","H3K27me3_K562_E1_IRpseudo12","H3K27me3_K562_E1_IR12","H3K27me3_K562_E2_IRpseudo123","H3K27me3_K562_E2_IR123","H3K27me3_A549_E1_IRpseudo12","H3K27me3_A549_E1_IR12","H3K27me3_A549_E2_IRpseudo12","H3K27me3_A549_E2_IR12","H3K27ac_K562_E1_IRpseudo12","H3K27ac_K562_E1_IR12","H3K27ac_A549_E1_IRpseudo123","H3K27ac_A549_E1_IR123","H3K27ac_A549_E2_IRpseudo123","H3K27ac_A549_E2_IR123","H3K27ac_A549_E3_IRpseudo12","H3K27ac_A549_E3_IR12","H3K27ac_A549_E4_IRpseudo12","H3K27ac_A549_E4_IR12","H3K36me3_K562_E1_IRpseudo12","H3K36me3_K562_E1_IR12","H3K36me3_K562_E2_IRpseudo12","H3K36me3_K562_E2_IR12","H3K36me3_A549_E1_IRpseudo12","H3K36me3_A549_E1_IR12","H3K36me3_A549_E2_IRpseudo12","H3K36me3_A549_E2_IR12"
"H3K4me3_K562_E2_IR12",76.6361587637401,70.0685278020512,54.5002989467875,55.9306443453065,59.0718852044336,56.4365542933358,66.0718392126201,42.7217955203974,48.0292507933588,37.676493584142,92.1583958055466,90.3785126247528,95.8515384261601,100,90.9442119302764,91.0545922825737,93.961274893069,93.3357862300511,76.1394471784022,75.6611323184473,76.0520627328336,76.029066826105,78.6092075610541,78.052706618222,75.4817642459642,74.7183001425746,90.6774594122246,84.8089040150853,83.6223152278894,80.2971071149335,75.9876741939935,74.9528583912064,6.48484569746585,6.4066596145886,2.93887687991537,1.51313066274203,5.02230602952674,4.90272731453801,7.68063284735317,6.21349399806834,75.7991077588189,74.5389320700915,78.4252403072253,76.9672998206319,72.0875684128225,71.3149059467415,65.777491606494,59.3386377224854,73.2511612932898,55.9260451639608,6.44345306535437,6.62282113783746,12.882306949363,12.1832313848135,17.6148645541094,10.2377776755737,7.29430161431265,6.07551855769673
"H3K4me3_K562_E3_IRpseudo12",72.3531004603304,66.8934470620092,57.2197400487409,58.4484159220146,58.3231789872732,55.4731925264013,63.7185215272136,40.8577037638776,47.0721635526672,36.7959653398321,81.4378554021121,78.4761711345789,74.4245870565936,72.2109396154888,100,95.3899268887084,88.9114541023558,88.2243433522881,69.7908204711617,69.1680205794747,69.4997292174384,69.5132683455186,73.2602220417005,72.5528025995126,69.107094503114,68.0679664229624,79.7420796100731,72.8032764689954,78.4423233143786,75.3046303818034,70.1326834551855,68.8803141077715,7.61237476306526,7.54129434064446,4.1429731925264,2.25764960736529,5.5713512049824,5.37164906580016,8.18101814243163,6.86772271865692,71.3748984565394,69.7942052531817,74.2959653398321,72.5155699972922,66.8122122935283,65.8137015976171,59.7041700514487,53.5844841592201,67.3097752504739,50.3757108042242,5.01286217167614,5.0264012997563,11.1697806661251,10.6688329271595,15.712158137016,8.84443541835906,6.06891416192797,5.0534795559166
"H3K4me3_K562_E3_IR12",72.249722194161,66.7643196282453,57.3660639121797,58.5277974206149,58.2920833754251,55.4803515506617,63.7202411017948,40.8728154359026,47.1057682594201,36.9027174462067,81.2742027814257,78.2368589419807,74.1758426777116,71.8860490958683,94.8984745933933,100,88.8507256625248,88.126746809442,69.6770717580901,69.060847897094,69.3032966292892,69.2898272552783,73.111762130855,72.4079873387884,68.9429908744991,67.8957470451561,79.6141024345894,72.6470687274809,78.4692056436677,75.2735966595952,69.9902347038421,68.6601340202714,7.62366569013705,7.56978819409368,4.1822406303667,2.28979358184328,5.50897397043472,5.3136680472775,8.08499175000842,6.77172778395124,71.3641108529481,69.7747247196687,74.1859447082197,72.3743139037613,66.6969727581911,65.6901370508806,59.5144290669091,53.4195373270027,67.1044213220191,50.1734181903896,5.01734181903896,5.0611172845742,11.2166212075294,10.7249890561336,15.7389635316699,8.88305216015086,6.05785096137657,5.04091322355793
"H3K4me3_K562_E4_IRpseudo12",67.5346541504255,62.8479830246558,70.4269206817815,71.813086698803,51.8739765205157,49.5721567451623,56.671356413036,37.7240122702216,43.8291394699818,35.1500334432733,55.8364277971262,53.5622852134603,52.5382291210185,51.0805636921374,56.929676868787,57.0726756925064,100,85.4533293355168,48.4904398367046,47.7731392854672,48.8271790022372,48.822566136956,54.3187951195885,53.2278524805683,47.9599603293586,46.8436469312914,68.125100906428,58.0759738911825,73.0354959983394,69.4466868095117,53.2716747007404,51.0667250962936,4.72357404801993,4.63131674239454,2.32027123647854,1.13707129183292,4.95191087944277,4.70281615425422,7.41748737228129,5.69458218972715,70.9274165647992,68.4526143413982,60.8206287335378,58.9109025070923,53.0248864081925,51.4795765389672,47.0097100814171,42.1961851604124,50.9398713010586,39.1816776991028,4.86887930437992,4.92884655303642,12.350946790599,11.8250801485343,16.6616693959453,9.0181516248818,6.57794589109025,5.3324722651475
"H3K4me3_K562_E4_IR12",69.487848280233,64.5930331765107,71.0845135655608,72.5007922385004,52.9775979328669,50.6642615118348,57.8821636642859,38.3540940448041,44.7821953538259,35.892060551398,58.1381176413232,55.8320941910636,54.8545937644736,53.3066816176291,59.410574555737,59.5348950588694,90.3151890402945,100,50.4911878702191,49.7793920483631,50.8617117226921,50.8787753211613,56.1587402189016,55.0301050630134,49.9451527192063,48.7823903663798,70.8188089608269,60.4246398361895,74.614240791751,71.1405796748166,55.1251736830558,52.9702849620944,4.7095531774858,4.55354313433927,2.2792092240938,1.13107281281232,4.89725276064647,4.63886112668503,7.33003437096263,5.57735904248836,72.5056675523487,69.9973185773834,62.847670818809,60.936547790264,54.978914267606,53.438315091534,48.8457694464081,43.7681300733735,52.933720108232,40.6844940643054,4.99232138068888,5.06788874533798,12.4296126563148,11.7763206006387,16.6345708504985,8.93401262706287,6.5085439875192,5.29459083928528
"H3K4me3_A549_E1_IRpseudo123",63.4700903744083,57.4630612537656,44.1256634629178,44.6205709367379,80.7595753837326,77.894132836035,83.9477836752259,61.5908764883087,69.1113183187491,58.6321905035146,55.2897719122077,54.2210586716397,53.8731889255487,52.607229952661,57.2227800889399,57.3196098120786,58.8617128102137,58.4779802037011,100,89.0976904317888,88.9040309855114,88.9004446994692,97.2672500358629,96.0443264954813,88.4162960837756,82.8073447138144,60.4504375268971,57.778654425477,52.2486013484435,50.1864868741931,89.0833452876201,86.6841199254052,16.461052933582,15.9840768899727,9.98780662745661,5.42246449576818,11.1676947353321,10.8772055659159,14.3845933151628,12.4946205709367,48.8882513269258,47.5720843494477,92.3361067278726,90.4389614115622,85.9776215750968,84.7726294649261,76.1045761009898,69.4053937742074,85.4755415291924,64.4204561755846,4.66217185482714,4.5545832735619,9.68655859991393,9.20599627026252,19.1471811791709,12.4731028546837,8.24845789700186,6.97174006598766
"H3K4me3_A549_E1_IR123",67.3168448154794,60.8332683155185,45.3772333619412,45.9623936958727,79.9563080283998,76.9251774986346,83.1629866583444,59.3586642740111,67.4338768822657,56.4757743621752,59.4015760318327,58.3599906374347,58.0362019193259,56.6825310134977,61.4262307872357,61.5354607162362,62.3819926659905,62.0269953967387,96.9181555746274,100,91.6439104314582,91.6478115003511,97.4487009440587,96.2705781384099,92.2056643520325,87.5516891628306,64.0906608410705,61.5900756807365,55.2898494187407,53.0584380120153,89.1589295466958,87.0991651712569,17.3246469532652,16.8058047905126,10.56409456191,5.81649371927908,12.1362253257393,11.8358430209878,15.5418584692206,13.5952250916751,51.4043848014356,50.2184598580011,92.4397284856051,90.5282047280955,85.9366466411797,84.9886869002107,75.4349691815557,68.405243036592,85.6791760942498,63.4391823359601,4.79831473823828,4.70078801591636,9.90091285012093,9.40157603183272,18.7641413747367,12.0777092923461,8.07911367714754,6.85027697589139
"H3K4me3_A549_E2_IRpseudo12",61.109061846797,55.1088159350793,41.7681052502152,42.1277511373417,77.3484569039715,74.4743637034305,81.1662363211607,58.7575310463544,65.5600639370466,55.3147669986475,54.7122832902988,53.5534243206689,53.0370097135129,51.6568301979589,56.5412516906431,56.6242468953646,58.1488995450633,57.7093323496865,86.2719783597688,82.8630271732448,100,95.4414115332596,98.2325095290791,96.7478175335055,84.6704782982909,80.0350424197713,59.1448420017214,56.0125414976024,51.1250461084471,48.6321160703308,89.2321406615025,86.5855157998279,14.3120619697529,13.8202385343662,8.36099840157384,4.25119881962376,9.23091110291405,8.9665560063937,12.2925119881962,10.6694946514201,47.1013156276897,45.8164269027419,91.2270994712898,89.4503873109554,84.2954629288086,82.8937661379565,74.3852207057666,67.3060371326694,84.6704782982909,63.0363949342186,3.89155293249723,3.88847903602607,8.53313660395918,8.05975654739948,16.0027050288946,10.2084101807451,6.57506455182589,5.5914176810525
"H3K4me3_A549_E2_IR12",61.2625670758034,55.2334546351693,41.710355887251,42.0495898353173,77.2219823598347,74.3724171960772,81.0368223030901,58.5795349410967,65.4073891321779,55.1471041756615,54.8695491272436,53.73157342873,53.1702954419293,51.7979399247517,56.7630913464504,56.818602356134,58.2711404428545,57.8609757601924,86.501572811941,83.1215691112071,95.7534077592056,100,98.22981558009,96.7279343736508,84.9380127058533,80.2781718374144,59.1932399925985,56.1216307901067,51.2058224881268,48.7448343921544,89.252451736261,86.5663356565719,14.4020230679085,13.9024239807562,8.39449824215136,4.28359958058348,9.24258311231728,8.98353173379387,12.3080244248443,10.6920372540554,47.0980077715414,45.8644297785727,91.2940233146241,89.5207549497317,84.3150558194042,82.9118608524024,74.2798988466046,67.1744896071054,84.6666255474002,62.9001418614692,3.83951150311478,3.84567939307963,8.52402393141306,8.03984456917289,15.9470795041016,10.1276753222722,6.57497070252267,5.5911922531302
"H3K4me3_A549_E3_IRpseudo12",45.4151609724047,41.2840834428384,37.2022831800263,37.32752956636,84.1204007884363,82.0815538764783,86.8470762155059,70.2509034165572,76.4721583442838,67.7480289093298,35.0813074901445,34.2415407358738,34.1121879106439,33.1307490144547,36.6581800262812,36.7156701708279,40.1199080157687,39.6415078843627,56.8023160315374,53.6547306176084,58.6686925098555,58.5968298291721,100,88.1775624178712,55.7736530880421,51.1641754270696,42.6392082785808,39.2472897503285,35.828679369251,34.0505913272011,80.3465834428384,73.698258869908,13.4526938239159,12.9599211563732,8.20055847568988,4.1557161629435,7.03022339027595,6.79204993429698,9.20663600525624,7.86588370565046,34.1224540078844,32.7570630749014,88.6107917214192,86.5822109067017,81.1473390275953,77.342723390276,73.7105781865966,67.6638469119579,76.6774802890933,59.9540078843627,4.02431011826544,4.02431011826544,8.34223061760841,8.03835413929041,18.4399638633377,11.4816031537451,7.65440210249671,6.20072273324573
"H3K4me3_A549_E3_IR12",46.5171038001177,42.2656812087121,37.7678941286764,37.8485621470774,84.356945080341,82.2682974687684,86.838031700351,70.0547234395099,76.4274968931912,67.5452940022238,36.8849063596922,36.0149998909892,35.8580242876142,34.8725663330935,38.4415810931607,38.5004469444263,41.5026053589727,41.0076961649988,59.2582902740532,56.0337497547256,61.1899622822509,61.1027536137092,93.6315869797458,100,58.1878038677044,53.6049883358406,43.868140493165,40.6763032245405,37.2577234177077,35.4110798613382,81.2981010312425,75.2414590010247,13.3363856367323,12.8763599101751,8.19107419277476,4.18165565657226,7.15329103712909,6.91346719863954,9.3378681840975,7.99485468855604,35.1734362395622,33.8849281618593,88.7849652255434,86.8750953844812,81.7973706586435,78.0931824623368,74.279983430353,68.2189809667081,77.6527786862014,60.5795016024593,4.06174373732749,4.07482503760874,8.5835132012122,8.24339939389975,18.7411428696012,11.6728802843003,7.76157150020712,6.3204482525563
