task_id	hash	native_id	name	status	exit	submit	start	complete	duration	realtime	cpus	time	memory	%cpu	peak_rss	peak_vmem	rchar	wchar
56	c5/1afa7c	5047714.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS_SPIKEIN:SAMTOOLS_INDEX (S_1_R2)	COMPLETED	0	2022-01-26 12:56:27.835	2022-01-26 12:57:07.652	2022-01-26 12:57:32.650	1m 5s	23s	2	4h	12 GB	98.0%	6.4 MB	11.8 MB	2.3 GB	4.7 KB
57	35/65f003	5047716.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS_SPIKEIN:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (S_1_R2)	COMPLETED	0	2022-01-26 12:57:32.904	2022-01-26 12:58:12.660	2022-01-26 12:58:12.663	39.8s	0ms	1	3d	96 GB	24.9%	3.2 MB	5.4 MB	203.2 KB	4.7 KB
58	96/c450f7	5047717.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS_SPIKEIN:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (S_1_R2)	COMPLETED	0	2022-01-26 12:57:33.106	2022-01-26 12:58:12.701	2022-01-26 12:58:37.659	1m 5s	23s	2	4h	12 GB	99.0%	6.3 MB	11.8 MB	2.3 GB	5.2 KB
59	8a/29e7ea	5047715.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS_SPIKEIN:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (S_1_R2)	COMPLETED	0	2022-01-26 12:57:32.790	2022-01-26 12:58:12.652	2022-01-26 13:00:02.656	2m 30s	1m 48s	2	4h	12 GB	98.7%	7.4 MB	13.3 MB	2.3 GB	73.3 KB
53	b5/6b52ea	5047696.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ALIGN_BOWTIE2:BOWTIE2_ALIGN (S_1_R2)	COMPLETED	0	2022-01-26 12:49:59.188	2022-01-26 12:50:52.985	2022-01-26 13:04:17.661	14m 18s	13m 26s	32	3d	124 GB	3250.8%	4.2 GB	7 GB	17.8 GB	15.3 GB
61	fa/34204c	5047736.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ANNOTATE_BT2_META:AWK_SCRIPT (S_1_R2)	COMPLETED	0	2022-01-26 13:04:17.909	2022-01-26 13:04:47.675	2022-01-26 13:04:52.666	34.8s	57ms	2	4h	12 GB	24.3%	0	0	129.8 KB	675 B
60	d4/ab5ca0	5047735.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (S_1_R2)	COMPLETED	0	2022-01-26 13:04:17.831	2022-01-26 13:04:47.661	2022-01-26 13:07:22.662	3m 5s	2m 32s	6	8h	36 GB	372.8%	5.1 GB	6 GB	5.2 GB	4.4 GB
62	2f/e0b2d1	5047748.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (S_1_R2)	COMPLETED	0	2022-01-26 13:07:22.939	2022-01-26 13:08:27.667	2022-01-26 13:08:57.666	1m 35s	31s	2	4h	12 GB	97.3%	20.7 MB	28.3 MB	2.1 GB	3.1 MB
64	d8/92d45b	5047754.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (S_1_R2)	COMPLETED	0	2022-01-26 13:08:57.930	2022-01-26 13:09:27.672	2022-01-26 13:09:27.677	29.7s	0ms	1	3d	96 GB	49.2%	4.6 MB	11.7 MB	3.3 MB	10.1 KB
65	42/013344	5047753.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (S_1_R2)	COMPLETED	0	2022-01-26 13:08:57.833	2022-01-26 13:09:27.665	2022-01-26 13:09:52.675	54.8s	24s	2	4h	12 GB	98.9%	6.2 MB	11.8 MB	2.1 GB	5.2 KB
66	78/6af431	5047755.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (S_1_R2)	COMPLETED	0	2022-01-26 13:08:58.097	2022-01-26 13:09:47.671	2022-01-26 13:11:41.782	2m 44s	1m 50s	2	4h	12 GB	98.7%	8.1 MB	14.4 MB	2.1 GB	116 KB
63	e5/d1a90f	5047749.pbs	NFCORE_CUTANDRUN:CUTANDRUN:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (S_1_R2)	COMPLETED	0	2022-01-26 13:07:23.237	2022-01-26 13:09:47.663	2022-01-26 13:21:51.805	14m 29s	12m 4s	6	8h	36 GB	253.2%	30.5 GB	74.6 GB	4.1 GB	2.2 GB
68	4f/978210	5047782.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ANNOTATE_DEDUP_META:AWK (S_1_R2)	COMPLETED	0	2022-01-26 13:21:52.206	2022-01-26 13:22:26.914	2022-01-26 13:22:26.919	34.7s	35ms	2	4h	12 GB	21.1%	0	0	160.1 KB	3.7 KB
69	d3/56a026	5047781.pbs	NFCORE_CUTANDRUN:CUTANDRUN:DEDUP_PICARD:SAMTOOLS_INDEX (S_1_R2)	COMPLETED	0	2022-01-26 13:21:52.062	2022-01-26 13:22:26.803	2022-01-26 13:22:51.803	59.7s	26s	2	4h	12 GB	98.4%	20 MB	27.6 MB	2.2 GB	3.1 MB
