Length,H3K27ac_Abcam_pA_Tn5_F10_P6_R1,H3K27ac_Abcam_pA_Tn5_F10_P9_R1,H3K27ac_Abcam_pA_Tn5_F6_P9_R1,H3K27ac_Abcam_pA_Tn5_F6_P9_R2,H3K27ac_Abcam_Tn5_F10_P7_R1,H3K27ac_Abcam_Tn5_F6_P7_R1,H3K27ac_Diagenode_pA_Tn5_F10_P9_R1,H3K27me3_Cell_Signaling_pA_Tn5_F10_P6_R1,H3K27me3_Cell_Signaling_pA_Tn5_F10_P9_R1,H3K27me3_Cell_Signaling_Tn5_F10_P7_R1,H3K27me3_Cell_Signaling_Tn5_F6_P7_R1
43,3822,2368,166,5297,245,8510,1537,191,2544,8818,10594
44,3919,2432,213,5537,225,8915,1774,193,2577,9340,10866
45,4107,2569,203,5671,264,9242,1756,203,2795,9817,11332
46,4221,2624,200,6083,241,9543,1846,202,2992,10031,11549
47,4271,2662,231,6294,214,9902,1793,230,3052,10221,11991
48,4441,2797,239,6594,253,9923,1922,241,3027,10485,11860
49,4525,2833,260,6566,283,10363,2000,238,3130,11305,12063
50,4728,2942,269,6944,270,10576,1987,242,3381,11451,12298
51,5053,3130,287,7071,255,10843,2152,246,3569,12268,12755
52,5359,3338,264,7517,279,11377,2107,281,3637,12724,13201
53,5544,3516,281,7820,310,11708,2220,317,3971,13769,13652
54,5446,3408,319,8346,317,12307,2351,299,4075,14318,14094
55,5602,3553,389,8416,328,12230,2250,300,4125,14282,13898
56,5738,3532,343,8758,341,12813,2411,314,4271,14924,14680
57,6059,3857,374,9227,321,13280,2431,318,4455,15497,14804
58,6283,3943,386,9180,410,13542,2415,341,4578,15701,14699
59,6326,3940,387,9637,382,13488,2604,316,4610,16223,15029
60,6403,4017,434,9387,375,13361,2584,328,4617,16364,14938
61,6511,3947,403,9699,379,13869,2576,366,4717,16944,15308
62,6887,4356,427,10393,405,14772,2723,355,5023,18272,15829
63,7150,4410,429,10672,473,15557,2850,408,5586,18783,16822
64,7622,4775,476,11933,523,16648,3105,406,5776,20644,17489
65,7465,4757,501,11673,466,16125,3018,382,5651,20230,17484
66,7629,4896,532,11967,487,16120,2996,369,5848,20661,17187
67,7689,4842,584,12094,483,16381,3052,416,6029,20986,17742
68,7719,4867,532,11989,449,16351,3016,397,5799,21118,17034
69,8367,5251,569,13067,509,17488,3220,435,6325,22524,18049
70,8199,5043,609,12834,481,17089,3226,440,6422,22507,17682
71,8675,5485,612,13797,574,18118,3294,506,6610,23768,18508
72,8835,5606,687,14489,630,18802,3364,481,7130,24645,19231
73,9059,5748,635,14087,588,18819,3586,493,7163,24887,19301
74,9295,5851,701,14759,591,19444,3547,540,7191,25949,19931
75,9374,5855,752,14768,660,19164,3567,540,7222,25609,19407
76,9498,6034,726,15377,627,19788,3643,560,7628,27098,20116
77,10055,6400,837,15982,667,20503,3891,525,7936,28077,20449
78,10137,6461,792,16246,661,20369,3721,524,8021,27553,19829
79,10603,6651,884,16607,675,21047,3951,566,8101,28497,20419
80,10310,6505,853,16964,719,20937,3930,636,8370,28200,20131
81,10845,6849,955,17837,737,21867,4007,627,8699,29529,21183
82,10938,6896,946,17977,715,22247,4076,664,9126,30295,21342
83,11283,7216,917,18023,788,21960,4186,613,9029,30518,21335
84,11438,7195,948,18414,751,22977,4125,636,9571,31624,22114
85,11837,7577,1085,19110,791,23276,4380,660,9612,32510,22873
86,12228,7678,1087,19648,836,24252,4360,774,9965,32446,22590
87,12393,7923,1154,20095,874,23956,4428,716,10100,33475,23010
88,12378,7849,1121,20460,887,23346,4583,710,10298,32260,22226
89,12757,8106,1229,20847,861,24416,4575,676,10470,33224,22623
90,12644,8157,1148,20906,857,23918,4609,742,10755,32987,22444
91,12997,8487,1252,21085,939,24848,4872,733,11032,33448,23041
92,13260,8388,1270,21033,952,25000,4862,765,10908,33893,22868
93,13756,8797,1308,22276,1017,25787,5002,868,11395,35723,23944
94,14032,8889,1352,22538,1041,26297,5212,835,11954,35700,23911
95,14824,9492,1398,23987,1012,27526,5294,911,12236,36773,24914
96,14775,9473,1380,23633,1017,26567,5445,878,12143,36923,24326
97,14576,9297,1397,23188,1061,26312,5396,958,12224,36396,24601
98,14544,9333,1505,24030,1007,26057,5258,922,11910,36337,24046
99,14768,9539,1425,23670,1124,26680,5399,954,12363,36082,24084
100,15655,10041,1580,24911,1085,27702,5610,945,13047,37537,24728
101,15647,10062,1557,24774,1157,26974,5654,962,13093,37214,24533
102,15602,9941,1630,25291,1201,27425,5557,1044,13087,37310,24562
103,16121,10358,1723,26040,1218,28094,5619,1045,13938,38218,25137
104,16506,10633,1718,25999,1291,28487,6045,1022,13925,38899,25345
105,17160,10943,1786,27186,1320,29084,6309,1057,14501,39443,26336
106,17098,10971,1821,27832,1371,28892,6139,1103,14700,39360,25809
107,17194,11092,1834,27198,1287,28907,6305,1165,14551,39726,25792
108,17253,11199,1799,27746,1348,28854,6352,1212,14843,38638,26000
109,17341,11222,1907,27175,1356,27673,6275,1130,14633,37910,24762
110,17741,11480,1923,28007,1328,28879,6331,1198,15006,39273,25663
111,17651,11657,1904,28233,1372,28808,6502,1231,15034,38732,25449
112,18242,11754,2034,28569,1483,29308,6422,1249,15576,39035,25891
113,18487,12058,2036,28884,1506,29574,6509,1314,15667,39516,25825
114,18296,11784,2037,29207,1511,29267,6510,1235,16143,39827,26613
115,19299,12485,2164,30074,1613,30758,6801,1350,16546,41134,27052
116,18696,12103,2255,30012,1573,29915,7043,1310,16517,39927,26536
117,19263,12645,2251,30577,1535,30151,6853,1409,16874,40227,27102
